WilsonReederName;Hominoidea;Clade;MedianCerebellum;MedianCerebrum;MedianCrus;MedianROC;MedianCerebroCerebellar;MedianCerebellarCrus;MedianROCCrus
Aotus_trivirgatus;Nonape;Cebidae;3,21125406761787;4,06987775615156;2,33545790068938;3,14921911265538;13,84765743802102;13,3107900399631;15,3546099290780
Ateles_paniscus;Nonape;Atelidae;3,94954291181742;4,88863433783903;NA;NA;11,50558152324214;NA;NA
Callithrix_penicillata;Nonape;Cebidae;2,68564378743553;3,59527250773808;NA;NA;12,31320981099153;NA;NA
Cebus_apella;Nonape;Cebidae;3,71521272393901;4,55972109608638;3,00518051250378;3,62102478964893;14,30512403734473;19,4969998598443;24,2189729897023
Cebus_capucinus;Nonape;Cebidae;3,63088167310477;4,60261044142393;NA;NA;10,67262454851301;NA;NA
Cercocebus_atys;Nonape;Papionini;3,72936175274789;4,71339849121788;NA;NA;10,37440651418584;NA;NA
Cercopithecus_cephus_cephus;Nonape;Cercopithecini;3,56788432371292;4,61844452014806;NA;NA;8,90102054715313;NA;NA
Chlorocebus_sabaeus;Nonape;Cercopithecini;3,62003361365398;4,72938388200814;2,70329137811866;3,56395742038335;7,77409299887221;12,1131686661205;13,7826890357475
Colobus_polykomos;Nonape;Colobinae;3,76245989324424;4,60711589150382;2,92531209149965;3,69417379840437;14,30026224183517;14,5496383415578;17,0270061579316
Daubentonia_madagascariensis;Nonape;Lemuriformes;3,48179254733868;4,23429266152670;2,57287160220048;3,42462724010447;17,68071752859365;12,3332931640613;14,0683887979756
Eulemur_mongoz;Nonape;Lemuriformes;3,50833540568804;4,16123296627756;NA;NA;22,23834376747714;NA;NA
Galago_demidoff;Nonape;Galagonidae;2,50591271640983;3,28447658547623;NA;NA;16,65083935940401;NA;NA
Gorilla_beringei_graueri;Ape;Hominoidea;4,66429541819072;5,43601611761465;NA;NA;16,91528426415545;NA;NA
Gorilla_gorilla_gorilla;Ape;Hominoidea;4,76642897720895;5,37601031115903;4,11750329942923;4,65605188505653;24,57076430925899;22,4426595941841;28,9368607494194
Homo_sapiens;Ape;Hominoidea;5,15281101816306;6,00247338929853;4,64073975044381;5,00561158896053;14,13636105382953;30,7559206870600;43,1646438072862
Hylobates_lar;Ape;Hominoidea;3,93858429556260;4,78308462701674;NA;NA;14,30538889030429;NA;NA
Lagothrix_lagotricha;Nonape;Atelidae;3,74781828311411;4,69359413059449;2,94138718875374;3,67407855679619;11,32984980174666;15,6159678297658;18,5058327128320
Lemur_catta;Nonape;Lemuriformes;3,30861109504145;4,10235567626185;NA;NA;16,07886610852021;NA;NA
Lepilemur_ruficaudatus;Nonape;Lemuriformes;2,94560704981716;3,61143639073512;NA;NA;21,58592476664395;NA;NA
Lophocebus_albigena;Nonape;Papionini;3,80074853277651;4,69183226187139;NA;NA;12,85038889087582;NA;NA
Loris_tardigradus;Nonape;Loridae;2,64997341539081;3,48729552542898;NA;NA;14,54379987513340;NA;NA
Macaca_fascicularis;Nonape;Papionini;3,82193909872977;4,66598970846298;NA;NA;14,32021011534091;NA;NA
Macaca_mulatta;Nonape;Papionini;4,02743620235423;4,89032315004880;NA;NA;13,71238670348843;NA;NA
Microcebus_murinus;Nonape;Lemuriformes;2,23016941404795;2,90811588813984;NA;NA;20,99198589620516;NA;NA
Mirza_coquereli;Nonape;Lemuriformes;2,94638497358331;3,58937205484134;NA;NA;22,75165107970448;NA;NA
Pan_paniscus;Ape;Hominoidea;4,68492053465348;5,38566991077078;3,82131697059110;4,62098276348767;19,91822453899218;13,6897789605962;15,8611330103607
Pan_troglodytes_troglodytes;Ape;Hominoidea;4,75623281058240;5,45405441087689;4,19156278759173;4,60263505062378;20,05295594532866;27,2477080302207;38,8085786333109
Papio_hamadryas;Nonape;Papionini;3,97673036838715;4,95357211567582;3,26505378850401;3,88293974845596;10,54771174794044;19,4233179817065;24,1053832140877
Pongo_pygmaeus;Ape;Hominoidea;4,41090088159110;5,26589819448745;3,78397500341267;4,29394414933196;13,96377000811396;23,6088113463384;30,9051498771341
Saguinus_oedipus;Nonape;Cebidae;2,87509022187714;3,79618754499814;NA;NA;11,99230531748038;NA;NA
Saimiri_sciureus;Nonape;Cebidae;2,96379520320822;3,93143784391196;2,01283722470517;2,89205980205887;10,77351347761522;11,1954620335932;13,2061863931405
Semnopithecus_entellus;Nonape;Colobinae;3,82921127434163;4,69823831461623;NA;NA;13,51988382352123;NA;NA
Trachypithecus_(Trachypithecus)_germaini;Nonape;Colobinae;3,57473465419517;4,57964165090012;NA;NA;9,88764813994664;NA;NA
Varecia_variegata_variegata;Nonape;Lemuriformes;3,52852346022257;4,20499828592285;NA;NA;21,06323990560103;NA;NA
