"","CerebellarVol","CerebralVol","CC","CerebellarVol-95%CI","CerebralVol-95%CI","CC-95%CI","CerebellarVol+95%CI","CerebralVol+95%CI","CC+95%CI"
"35",8468.96144414306,55567.6913647974,18.0377126194637,-33849.9083503069,-286728.811504031,14.7201442339975,50787.831238593,397864.194233626,21.3552810049298
"36",14489.6503443208,99295.3680220666,15.728048636236,-20491.396776064,-183649.099875021,12.9857254933742,49470.6974647055,382239.835919154,18.4703717790978
"37",23985.6977278708,166412.58202265,14.8479886416377,-3369.73935737379,-54852.0806256757,12.7034716995403,51341.1348131154,387677.244670975,16.9925055837352
"38",15685.3377706124,112722.605734219,14.0227298912358,-6914.34798045681,-70075.1257765651,12.2510378934723,38285.0235216817,295520.337245003,15.7944218889992
"39",12665.1684456949,99309.2500179383,12.6597785722913,-6752.07677308414,-57747.2868418106,11.1375725402409,32082.413664474,256365.786877687,14.1819846043418
"40",9652.47326662881,80825.4826296257,11.805460246951,-8339.30751161072,-64701.1741711695,10.3950028458425,27644.2540448683,226352.139430421,13.2159176480595
"41",7921.00073543355,66885.2100052296,11.7443373876376,-8303.35442567893,-64345.6111373388,10.4724365070488,24145.355896546,198116.031147798,13.0162382682264
"42",12942.5903208577,102594.807052591,12.5816811628181,-6855.22907405436,-57540.0069493709,11.0296401928028,32740.4097157698,262729.621054553,14.1337221328335
"43",12672.7245860013,87638.1611672932,14.6948182580404,-9249.88174582465,-89683.0082685363,12.9762055907658,34595.3309178272,264959.330603123,16.4134309253151
"44",11260.7218348668,74468.7201852282,15.2551131516938,-8646.64761279272,-86552.1902585028,13.6944840555449,31168.0912825264,235489.630628959,16.8157422478426
"45",39900.7344952437,272877.053886053,15.3025053304397,14054.8948686006,63822.781858471,13.2763325886426,65746.5741218868,481931.325913635,17.3286780722369
"46",72217.0799280159,495067.359550375,15.4522062602204,54063.7655496837,348234.136986457,14.0290855066297,90370.394306348,641900.582114293,16.8753270138111
"47",80372.4683655026,581129.286270106,14.5501689987426,64348.1830539278,451516.731639827,13.2939525022344,96396.7536770775,710741.840900384,15.8063854952508
"48",5951.11723954986,40088.3582070155,14.8145434782646,-15794.7079860761,-135802.915895607,13.1097894847195,27696.9424651758,215979.632309638,16.5192974718098
"49",10241.2222220058,67198.7270798718,15.1738728887094,-10030.3770056567,-96768.2587326349,13.584690166033,30512.8214496684,231165.712892379,16.7630556113859
"50",5106.49486703588,34497.8946847627,14.7342389757146,-15425.9208204448,-131578.707063136,13.1246096663098,25638.9105545166,200574.496432662,16.3438682851194
"51",4776.3423514932,32253.0992646563,14.7524772031635,-15580.2757274321,-132401.562178279,13.1566294666413,25132.9604304185,196907.760707592,16.3483249396857
"52",3278.63069975016,22144.2439961326,14.7323948932252,-16943.6141644044,-141423.538668647,13.1470812832366,23500.8755639047,185712.026660912,16.3177085032137
"53",2657.04923168779,17886.4521846945,14.8421275615519,-17841.1220175488,-147913.163161856,13.2351828291749,23155.2204809243,183686.067531245,16.4490722939289
"54",6108.96270604046,38427.2505544035,18.9430581997197,-30957.6089732725,-261385.998731138,16.0372413157102,43175.5343853534,338240.499839946,21.8488750837291
"55",5089.54241268852,29664.1730554824,20.2199070327245,-30974.0441720988,-262036.423601266,17.3927187051215,41153.1289974759,321364.76971223,23.0470953603276
"56",2776.87049908542,14227.3144549217,21.9740557925138,-23669.8124822462,-199686.883654832,19.9007802115381,29223.553480417,228141.512564676,24.0473313734895
"57",2367.01970292392,12003.3015467232,22.1201940620877,-23604.2081383743,-198065.174016685,20.0841915687191,28338.2475442222,222071.777110132,24.1561965554562
"58",1659.82656093632,8325.21348966172,21.9191921242482,-24286.9950270193,-201545.851906419,19.8851029479151,27606.6481488919,218196.278885742,23.9532813005813
"59",1018.68018072846,4881.93622928215,22.1270616677252,-21407.5140602776,-176512.507871886,20.3689704573109,23444.8744217345,186276.380330451,23.8851528781394
"60",3260.9761836962,15418.0424006944,22.2638018371714,-21543.4115069413,-185212.437655789,20.3192732421732,28065.3638743337,216048.522457178,24.2083304321696
"61",3000.80887546936,13805.351389548,22.5432840884045,-20521.4250237195,-176454.417892179,20.6992693517508,26523.0427746582,204065.120671275,24.3872988250582
"62",1801.73917566967,8045.01323236349,22.7719412312239,-15545.4682716344,-132268.007238034,21.4120148607221,19148.9466229737,148358.033702761,24.1318676017256
"63",2594.19630874974,15795.0147659725,18.4045417234374,-28309.0250271321,-234165.928001021,15.9818978624136,33497.4176446316,265755.957532966,20.8271855844613
"64",2336.23368005213,14190.2172372431,18.054075836605,-28000.0329065559,-231184.907692368,15.6758781330829,32672.5002666602,259565.342166854,20.4322735401271
"65",1719.89124704704,10602.675104093,16.9566401269262,-28222.2673958176,-231584.704700202,14.6093383348728,31662.0498899117,252790.054908389,19.3039419189796
"66",1228.92471822103,6654.76696484816,20.1238856705995,-23532.8079779148,-193630.697841499,18.1827009943291,25990.6574143568,206940.231771195,22.0650703468699
"67",1161.90042684303,5975.68487642714,20.80502169913,-21706.216061669,-178993.250712725,19.0122861968364,24030.016915355,190944.620465579,22.5977572014236
